,Distance,1D_1yr,1D_2yr,1D_5yr,1D_10yr,1D_20yr
316,261.2494,0.26923,0.27358,0.29737,0.32623,0.34774
317,262.0694,0.26923,0.27355,0.29727,0.32616,0.34772
318,262.8994,0.26922,0.27351,0.29718,0.32609,0.3477
319,263.7294,0.26922,0.27348,0.29708,0.32601,0.34768
320,264.5494,0.26922,0.27344,0.29699,0.32594,0.34766
321,265.3794,0.26922,0.27341,0.29689,0.32587,0.34764
322,266.2094,0.26921,0.27337,0.2968,0.32579,0.34762
323,267.0294,0.26921,0.27334,0.2967,0.32572,0.3476
324,267.8594,0.26921,0.27331,0.29661,0.32565,0.34757
325,268.6894,0.26921,0.27328,0.29652,0.32558,0.34755
326,269.5094,0.26921,0.27325,0.29643,0.32551,0.34753
327,270.3394,0.26921,0.27321,0.29634,0.32543,0.34751
328,271.1694,0.2692,0.27318,0.29625,0.32536,0.34749
329,271.9894,0.2692,0.27315,0.29616,0.32529,0.34747
330,272.8194,0.2692,0.27312,0.29607,0.32522,0.34745
331,273.6494,0.2692,0.27309,0.29598,0.32515,0.34743
332,274.4694,0.2692,0.27306,0.29589,0.32508,0.34741
333,275.2994,0.2692,0.27303,0.2958,0.32501,0.34739
334,276.1294,0.2692,0.27301,0.29572,0.32494,0.34737
335,276.9494,0.2692,0.27298,0.29564,0.32488,0.34735
336,277.7794,0.26919,0.27296,0.29555,0.32481,0.34733
337,278.6094,0.26919,0.27293,0.29547,0.32474,0.34731
338,279.4394,0.26919,0.27291,0.29539,0.32468,0.34729
339,280.2594,0.26919,0.27289,0.29532,0.32461,0.34727
340,281.0894,0.26919,0.27287,0.29524,0.32455,0.34725
341,281.9194,0.26919,0.27285,0.29517,0.32449,0.34723
342,282.7394,0.26919,0.27283,0.29509,0.32442,0.34721
343,283.5694,0.26919,0.27281,0.29502,0.32436,0.34719
344,284.3994,0.26919,0.2728,0.29495,0.3243,0.34717
345,285.2194,0.26919,0.27278,0.29487,0.32423,0.34715
346,286.0494,0.26919,0.27276,0.2948,0.32417,0.34714
347,286.8794,0.26919,0.27274,0.29473,0.32411,0.34712
348,287.6994,0.26919,0.27273,0.29465,0.32405,0.3471
349,288.5294,0.2692,0.27271,0.29458,0.32398,0.34708
350,289.3594,0.2692,0.2727,0.29451,0.32392,0.34706
351,290.1794,0.2692,0.27269,0.29444,0.32386,0.34704
352,291.0094,0.2692,0.27267,0.29438,0.3238,0.34702
353,291.8394,0.2692,0.27266,0.29431,0.32374,0.347
354,292.6594,0.2692,0.27264,0.29424,0.32368,0.34699
355,293.4894,0.2692,0.27263,0.29417,0.32362,0.34697
356,294.3194,0.2692,0.27261,0.2941,0.32356,0.34695
357,295.1394,0.2692,0.2726,0.29404,0.3235,0.34693
358,295.9694,0.2692,0.27259,0.29397,0.32344,0.34691
359,296.7994,0.2692,0.27258,0.29391,0.32338,0.3469
360,297.6194,0.2692,0.27257,0.29385,0.32332,0.34688
361,298.4494,0.2692,0.27255,0.29378,0.32327,0.34686
362,299.2794,0.2692,0.27254,0.29372,0.32321,0.34684
363,300.0994,0.2692,0.27253,0.29366,0.32315,0.34682
364,300.9294,0.26921,0.27252,0.29359,0.32309,0.34681
365,301.7594,0.26921,0.27251,0.29353,0.32304,0.34679
366,302.5794,0.26921,0.2725,0.29348,0.32298,0.34677
367,303.4094,0.26921,0.2725,0.29342,0.32293,0.34675
368,304.2394,0.26921,0.27249,0.29336,0.32287,0.34674
369,305.0594,0.26921,0.27248,0.29331,0.32282,0.34672
370,305.8894,0.26921,0.27247,0.29325,0.32276,0.3467
371,306.7194,0.26921,0.27246,0.2932,0.32271,0.34669
372,307.5394,0.26921,0.27246,0.29314,0.32266,0.34667
373,308.3694,0.26921,0.27245,0.29309,0.3226,0.34665
374,309.1994,0.26921,0.27244,0.29303,0.32255,0.34664
375,310.0194,0.26922,0.27244,0.29298,0.3225,0.34662
376,310.8494,0.26922,0.27243,0.29293,0.32245,0.3466
377,311.6794,0.26922,0.27242,0.29287,0.32239,0.34659
378,312.4994,0.26922,0.27242,0.29282,0.32234,0.34657
379,313.3294,0.26922,0.27241,0.29276,0.32229,0.34655
380,314.1594,0.26922,0.2724,0.29271,0.32223,0.34654
381,314.9794,0.26922,0.27239,0.29266,0.32218,0.34652
