,t,median,stdev,t (days),Probability density,Cumulative probability,T,lnfO2,P,Ea,C0,C1,b1,Profile
136,1.428674779,,,,,,1193.627014,-18.26554691,0.394957854,204831.0632,0.852190444,0.84784418,0.17808226,Ol1A
137,2.135500835,,,,,,1208.642967,-19.7076163,0.389466615,201671.8746,0.851659266,0.847809926,0.611638487,Ol1A
138,0.378116644,,,,,,1194.095596,-19.03975202,0.391789611,190702.2796,0.851583093,0.848136956,5.171473898,Ol1A
139,3.204259624,,,,,,1201.97543,-18.88256101,0.458730951,221958.996,0.852148332,0.84803886,2.000008782,Ol1A
140,0.103977527,,,,,,1207.016288,-18.3787428,0.434693214,191444.8697,0.851784393,0.848109404,6.132664074,Ol1A
141,0.649147845,,,,,,1215.82104,-18.51718406,0.410226354,217550.3596,0.851770215,0.847941037,5.771825341,Ol1A
142,0.892927827,,,,,,1210.098536,-18.50510124,0.435827258,217956.8996,0.851938801,0.848097865,4.996383624,Ol1A
143,0.138127847,,,,,,1216.448476,-18.82181854,0.372339641,180850.303,0.852264525,0.847862505,6.219292849,Ol1A
144,0.83408172,,,,,,1198.101428,-18.39058966,0.529270632,214393.9826,0.85208299,0.847899543,6.150435048,Ol1A
145,1.693809578,,,,,,1192.091588,-19.15862087,0.356407549,208435.3819,0.851825488,0.848133413,6.091072614,Ol1A
146,0.276147807,,,,,,1204.792976,-18.63600894,0.62995513,179433.1115,0.852390037,0.848032459,2.034526385,Ol1A
147,0.158532767,,,,,,1185.107379,-18.28793465,0.2737862,186900.0132,0.851990001,0.848132156,4.465751745,Ol1A
148,0.104327801,,,,,,1216.670765,-19.08350746,0.488880608,188867.937,0.85189211,0.848124587,5.705836837,Ol1A
149,2.333710963,,,,,,1208.641136,-17.73196738,0.600634186,222411.4585,0.852444989,0.847991267,6.355485608,Ol1A
150,0.831953388,,,,,,1212.026757,-18.55168292,0.365444184,192977.0467,0.852035401,0.847820851,2.092254019,Ol1A
151,0.379775342,,,,,,1231.465606,-18.58011371,0.464534653,200799.6757,0.852244677,0.84785112,5.601652663,Ol1A
152,0.154804432,,,,,,1213.269838,-18.79998007,0.418641606,177483.801,0.851935668,0.847813824,3.587547718,Ol1A
153,0.493842598,,,,,,1202.665873,-18.26873982,0.310439772,191561.5794,0.851899827,0.848118056,5.112154551,Ol1A
154,2.280067242,,,,,,1199.680003,-18.80365333,0.331514934,211305.1584,0.852070109,0.847834779,3.087711791,Ol1A
155,1.939518242,,,,,,1216.545558,-18.68940869,0.367606133,215852.3084,0.851874827,0.848116678,6.647978093,Ol1A
156,0.220946424,,,,,,1187.842125,-18.97392212,0.349680987,198892.1591,0.852114507,0.848070708,5.60026875,Ol1A
157,3.047679239,,,,,,1210.391194,-18.66662181,0.447682471,205040.8261,0.851876835,0.847869226,1.879830485,Ol1A
158,5.791931762,,,,,,1181.317964,-18.34857923,0.538981716,212472.7697,0.851781215,0.848090395,2.912341947,Ol1A
159,0.553887606,,,,,,1210.856954,-18.49382154,0.47483457,199658.9713,0.852064992,0.84811235,1.544744943,Ol1A
160,1.198107541,,,,,,1182.286069,-18.30469854,0.430188658,198912.3811,0.852446992,0.8480714,3.307394167,Ol1A
161,2.309727178,,,,,,1202.088549,-18.35127468,0.406059566,211467.4584,0.852428116,0.847864099,0.948897117,Ol1A
162,0.554088121,,,,,,1206.805464,-18.88517865,0.370175649,202644.9926,0.851762242,0.848132643,6.39829508,Ol1A
163,0.595123524,,,,,,1189.479645,-18.4563396,0.288915729,189858.0365,0.85186312,0.848014583,6.850181416,Ol1A
164,1.714105123,,,,,,1202.005251,-18.59825382,0.2984734,213115.0671,0.852484044,0.847996155,6.121621902,Ol1A
165,2.821274665,,,,,,1213.733874,-18.82284884,0.383347384,216876.1409,0.852206582,0.84787194,1.437448992,Ol1A
166,1.964407196,,,,,,1183.209539,-17.99305968,0.554720758,205185.8906,0.851936193,0.84811686,4.523590667,Ol1A
167,0.186163742,,,,,,1199.140173,-18.5607277,0.411120481,188916.1907,0.852101656,0.847946902,3.22201928,Ol1A
168,0.634182089,,,,,,1190.614445,-19.50624503,0.358495292,199154.3748,0.852410962,0.84787873,4.767382505,Ol1A
169,1.075836657,,,,,,1171.44578,-19.00683726,0.402819083,203380.835,0.852161203,0.847842745,5.74779844,Ol1A
170,1.529982045,,,,,,1201.813967,-18.52746642,0.439111183,199832.4012,0.852073069,0.848068433,3.304653178,Ol1A
171,0.594766085,,,,,,1200.15076,-19.377038,0.396287041,207729.9933,0.852351873,0.848073924,5.074840521,Ol1A
172,0.652152836,,,,,,1206.233241,-18.13285378,0.395165035,198449.9988,0.851691128,0.848133743,5.11969419,Ol1A
173,3.804109877,,,,,,1187.916952,-18.22004163,0.281335095,229550.6098,0.852160437,0.84807007,3.986026062,Ol1A
174,0.243806476,,,,,,1194.890007,-18.73825705,0.439942683,182780.5413,0.851644689,0.848076012,7.218490898,Ol1A
175,0.76562165,,,,,,1185.901907,-18.68241112,0.386590488,206030.0929,0.851936799,0.848042883,3.691418028,Ol1A
176,1.222659411,,,,,,1201.627135,-18.93608153,0.408262122,206378.576,0.851826979,0.848088606,0.493348287,Ol1A
177,0.235714703,,,,,,1199.589756,-18.25160992,0.525628438,190033.8917,0.851933035,0.847941952,2.654034423,Ol1A
178,0.132204384,,,,,,1208.967436,-18.42226851,0.286814955,197112.8059,0.851895136,0.847963827,6.246823492,Ol1A
179,0.162328264,,,,,,1195.56099,-18.86856788,0.448762113,196609.1167,0.85182294,0.84797124,6.45489493,Ol1A
180,4.332255357,,,,,,1219.134314,-17.88261059,0.531759264,218794.4301,0.852441238,0.848047181,2.602763596,Ol1A
181,1.136875431,,,,,,1195.02813,-19.27719814,0.621578249,204806.3837,0.852371843,0.848070664,5.749353001,Ol1A
182,2.077437772,,,,,,1192.053004,-17.97930091,0.538183787,226110.2198,0.851949616,0.848103287,5.742593834,Ol1A
183,1.228670323,,,,,,1174.455701,-18.26042938,0.396673059,191653.6571,0.851565879,0.847857682,4.649093333,Ol1A
184,0.743761537,,,,,,1199.084326,-19.37932432,0.442851201,197276.3893,0.852331152,0.847850319,3.824846543,Ol1A
